PARAM,AVG_TIME,RUN,FAILED
10,400.66,1,0
10,372.11,2,0
10,372.75,3,0
100,400.74,1,0
100,380.09,2,0
100,375.97,3,0
1000,460.03,1,0
1000,358.64,2,0
1000,359.22,3,0



