PARAM,AVG_TIME,RUN,FAILED
1,124.52,1,0
1,122.93,2,0
1,209.2,3,0
10,178.04,1,0
10,160.68,2,0
10,297.22,3,0
20,264.68,1,0
20,270.37,2,0
20,452.98,3,0
50,537.6,1,0
50,501.44,2,0
50,466.62,3,0
100,686.31,1,0
100,771.66,2,0
100,746.53,3,0
1000,5850.63,1,0
1000,5660.1,2,0
1000,5588.98,3,0
