PARAM,AVG_TIME,RUN,FAILED
1,105.343,1,0
1,112.279,2,0
1,113.442,3,0
10,306.531,1,0
10,292.27,2,0
10,305.148,3,0
20,328.447,1,0
20,369.042,2,0
20,366.511,3,0
50,496.705,1,0
50,531.175,2,0
50,543.958,3,0
100,721.71,1,0
100,717.891,2,0
100,687.404,3,0
1000,3815.171,1,0
1000,3646.418,2,0
1000,3614.732,3,0
