PARAM,AVG_TIME,RUN,FAILED
10,521.457,1,0
10,533.389,2,0
10,549.55,3,0
50,4640.37,1,0
50,6335.885,2,0
50,5767.973,3,0
100,19039.116,1,0
100,13141.226,2,1
100,10253.213,3,1
