PARAM,AVG_TIME,RUN,FAILED
10,216.404,1,0
10,210.887,2,0
10,198.956,3,0
100,210.975,1,0
100,205.812,2,0
100,208.886,3,0
1000,214.568,1,0
1000,201.232,2,0
1000,212.565,3,0
